Title,channel,Published At,Description,URL,Video_ID,Channel_ID,View_Count,Like_Count,Comment_Count,Duration,Thumbnail_URL,Category_ID,Tags
AI in Healthcare: How to implement it,Rootstack,2025-11-03T15:47:51Z,"A look at the importance of implementing Artificial Intelligence in software used by the medical industry. At Rootstack, we have a ...",https://www.youtube.com/watch?v=l6suKnWIMUY,l6suKnWIMUY,UCVfAtNwOqp9BK0RJfcl5yeA,0,0,0,,https://i.ytimg.com/vi/l6suKnWIMUY/hqdefault.jpg,28,
AI on Guard for Your Health #aiinhealthcare  #healthtech  #digitalhealth,ProHabit Inc.,2025-11-03T15:37:13Z,,https://www.youtube.com/watch?v=oDS2z9AnBak,oDS2z9AnBak,UCfPysY_ya-D8-uCveXG1Pyw,0,0,0,,https://i.ytimg.com/vi/oDS2z9AnBak/hqdefault.jpg,22,
🎯Workshop Alert!🚀Transforming Healthcare with AI-Driven Drug ... IIT-BHU #bhu #varanasi #iitbhu #ai,Research Careers Hub,2025-11-03T15:16:17Z,Workshop Alert! Transforming Healthcare with AI-Driven Drug Discovery Join this hands-on workshop to explore how ...,https://www.youtube.com/watch?v=DhMDl2RKXHk,DhMDl2RKXHk,UCJ_r_KYYPGGLxL4O-yWWqEg,204,4,0,,https://i.ytimg.com/vi/DhMDl2RKXHk/hqdefault.jpg,27,
AI Health Reels by febric in 3,Jyoti Roy,2025-11-03T14:44:52Z,"""Welcome to our official YouTube channel! We bring you the best content, from music to comedy and everything in between.",https://www.youtube.com/watch?v=cIS7ZRrO17Y,cIS7ZRrO17Y,UCPyq5_QY47kcCMm0PCCPgNg,0,0,0,,https://i.ytimg.com/vi/cIS7ZRrO17Y/hqdefault.jpg,1,"#ShortsVideo, #ShortsViral, #ShortsChallenge, #ShortsTrend, #Funny, #Fashion, #Makeup, #Skincare, #Style, #Motivation, #Inspiration, #Goals, #Success, #Positivity, #politics, #india, #newspaper, #newsouthwales:, #Trending, #Viral, #BreakingNews, #Learning, #Cybersecurity"
$1.2 Billion valuation. 100+ specialties. One goal — fix healthcare with AI.,Dr. Owais Durrani,2025-11-03T14:45:38Z,"Billion valuation. 100+ specialties. One goal — fix healthcare with AI. My conversation with Nikhil Buduma, CEO of Ambience ...",https://www.youtube.com/watch?v=cS3t42HaqIU,cS3t42HaqIU,UCFqTd2A0NMofkcR1YFpncBg,71,0,0,,https://i.ytimg.com/vi/cS3t42HaqIU/hqdefault.jpg,28,
AI Health Reels by febric in 16,Jyoti Roy,2025-11-03T14:43:38Z,"""Welcome to our official YouTube channel! We bring you the best content, from music to comedy and everything in between.",https://www.youtube.com/watch?v=gxP106-B438,gxP106-B438,UCPyq5_QY47kcCMm0PCCPgNg,0,0,0,,https://i.ytimg.com/vi/gxP106-B438/hqdefault.jpg,1,"#ShortsVideo, #ShortsViral, #ShortsChallenge, #ShortsTrend, #Funny, #Fashion, #Makeup, #Skincare, #Style, #Motivation, #Inspiration, #Goals, #Success, #Positivity, #politics, #india, #newspaper, #newsouthwales:, #Trending, #Viral, #BreakingNews, #Learning, #Cybersecurity"
He Makes $50K/Month Selling AI to Health Clinics 💉 | Copy This SaaS Business Model,AI Sales Academy ,2025-11-03T14:18:10Z,Join AI Sales Academy and generate 10K in 90 days – guaranteed ⤵️ https://salesaicademy.com/ GoHighLevel SaaS Plan: ...,https://www.youtube.com/watch?v=wczJ9T33O_8,wczJ9T33O_8,UCqQdx5TYO9H2VgSmuZXu7jA,29,0,0,,https://i.ytimg.com/vi/wczJ9T33O_8/hqdefault.jpg,22,
"How AI Is Humanizing Digital Healthcare | Adam Pivko, Direct Meds | The Brainiac Blueprint Podcast",Left Brain AI,2025-11-03T14:02:40Z,"Today on The Brainiac Blueprint Podcast by Left Brain AI, we sit down with Adam Pivko, Chief Marketing Officer at Direct Meds, ...",https://www.youtube.com/watch?v=uk9pmzZ-0eo,uk9pmzZ-0eo,UCrrshA8I8TYL4nrFpaTPDTw,1,0,0,,https://i.ytimg.com/vi/uk9pmzZ-0eo/hqdefault.jpg,22,
AI Chatbots in Healthcare: Improving Patient Engagement,Cyfuture AI,2025-11-03T13:07:28Z,"The healthcare industry is evolving fast — and AI chatbots are at the center of this transformation. In this video, we explore how ...",https://www.youtube.com/watch?v=G6LiWV08eg0,G6LiWV08eg0,UC8lOYl2el9GLuW3adXfwVBg,0,0,0,,https://i.ytimg.com/vi/G6LiWV08eg0/hqdefault.jpg,28,
AI in Healthcare - The Future is Now!,ThinkData Podcast by Dataworks ,2025-11-03T12:56:20Z,"AI isn't coming to healthcare — it's already here. From diagnosis to drug discovery, it's transforming how we care, cure, and ...",https://www.youtube.com/watch?v=MqRp1zHpHAA,MqRp1zHpHAA,UC2H0F_sOENw6Egs4-wsdWjA,8,1,0,,https://i.ytimg.com/vi/MqRp1zHpHAA/hqdefault.jpg,28,TPD&x%
